question,non_llm_context_precision_with_reference,non_llm_context_recall
Cuéntame la historia del tesoro de Torredonjimeno,0'625,0'6666666666666666
Dame un resumen de la Leyenda del Lagarto de la Malena,0'11704055555555556,0'20833333333333334
¿A qué se dedica la empresa Doña Jimena?,1'0,1'0
¿Cuando nació Juan Eslava Galán?,0'8993055555555556,1'0
¿Cuando sale la procesión del Abuelo?,0'06724527777777778,0'2222222222222222
¿Cuando se prevé que acabarán las obras del CETEDEX?,0'38938486111111115,0'5
¿Cuál es la altura de Jabalcuz?,0'7373490277777778,0'9166666666666666
¿Cuál es la formación de Maite Martín Valdivia?,0'06648444444444444,0'20833333333333334
¿Cuál es la longitud del río Cambil?,0'7508169444444444,0'7638888888888888
¿Cuánto pesa una serrana?,0'19107541666666666,0'3333333333333333
¿Cuántos habitantes tiene Santiago de Calatrava?,0'34563499999999997,0'4027777777777778
¿Cómo está organizado el Pleno de Jaén?,0'061144166666666666,0'2777777777777778
¿Cómo se llama el estadio del equipo de fútbol sala de Jaén?,0'07243708333333333,0'4305555555555556
¿Dónde puede crecer la Viola cazorlensis?,0'6134922222222222,0'7361111111111112
¿En qué categoría juega el equipo de fútbol de Torredonjimeno?,0'49305541666666663,0'6666666666666666
¿En qué equipos ha jugado Imanol Alguacil?,0'7134258333333334,0'7916666666666666
¿Por qué se libró la batalla de Bailén?,0'2228673611111111,0'5833333333333334
¿Quién es Joaquín Sabina?,0'38334861111111107,0'5972222222222222
¿Qué animales se pueden encontrar en Despeñaperros?,0'029772083333333334,0'1111111111111111
¿Qué es el Expoliva?,0'04211777777777778,0'16666666666666666
¿Qué lleva el ochío?,0'1165573611111111,0'25
¿Qué localidades constituyen el inicio y fin de la A-44?,0'0006944444444444445,0'013888888888888888
¿Qué línea de tren debería coger para ir desde Jaén a Madrid?,0'08359875,0'4583333333333333
¿Qué representa el Mosaico de los Amores?,0'019381250000000003,0'125
